import time: self [us] | cumulative | imported package
import time:       112 |        112 | winreg
import time:       167 |        167 |   _io
import time:        29 |         29 |   marshal
import time:       141 |        141 |   nt
import time:       515 |        851 | _frozen_importlib_external
import time:       538 |        538 |   time
import time:       199 |        736 | zipimport
import time:        51 |         51 |     _codecs
import time:       440 |        491 |   codecs
import time:       609 |        609 |   encodings.aliases
import time:      1006 |       2106 | encodings
import time:       470 |        470 | encodings.utf_8
import time:        71 |         71 |   _codecs_cn
import time:        67 |         67 |   _multibytecodec
import time:       638 |        775 | encodings.gbk
import time:        33 |         33 | _signal
import time:        24 |         24 |     _abc
import time:       134 |        158 |   abc
import time:       123 |        281 | io
import time:        44 |         44 |       _stat
import time:        79 |        123 |     stat
import time:       705 |        705 |     _collections_abc
import time:        75 |         75 |       genericpath
import time:        71 |         71 |       _winapi
import time:       184 |        330 |     ntpath
import time:       509 |       1664 |   os
import time:        82 |         82 |   _sitebuiltins
import time:        49 |         49 |   errno
import time:       583 |        583 |   sitecustomize
import time:       190 |        190 |   usercustomize
import time:       682 |       3248 | site
import time:       531 |        531 | linecache
import time:       266 |        266 |   api
import time:       219 |        219 |       posix
import time:       193 |        193 |       posix
import time:       125 |        537 |     posixpath
import time:       339 |        339 |       urllib
import time:       111 |        111 |         itertools
import time:       369 |        369 |         keyword
import time:        59 |         59 |           _operator
import time:       442 |        501 |         operator
import time:       449 |        449 |         reprlib
import time:        77 |         77 |         _collections
import time:      1102 |       2606 |       collections
import time:        57 |         57 |         _functools
import time:       854 |        910 |       functools
import time:        52 |         52 |       math
import time:       481 |        481 |           types
import time:      1257 |       1738 |         enum
import time:        62 |         62 |           _sre
import time:       375 |        375 |             re._constants
import time:       484 |        859 |           re._parser
import time:       292 |        292 |           re._casefix
import time:       565 |       1775 |         re._compiler
import time:       463 |        463 |         copyreg
import time:       778 |       4753 |       re
import time:       879 |        879 |       warnings
import time:      1308 |       1308 |       ipaddress
import time:      1062 |      11905 |     urllib.parse
import time:       444 |      12885 |   mimetypes
import time:       739 |        739 |   contextlib
import time:        98 |         98 |     _datetime
import time:       375 |        473 |   datetime
import time:       405 |        405 |         fnmatch
import time:       762 |       1167 |       glob
import time:       574 |       1741 |     pathlib._abc
import time:       236 |        236 |       pwd
import time:       197 |        197 |       grp
import time:       596 |       1028 |     pathlib._local
import time:       410 |       3177 |   pathlib
import time:        41 |         41 |     _typing
import time:      2149 |       2189 |   typing
import time:       470 |        470 |     starlette
import time:       478 |        478 |       __future__
import time:       768 |       1246 |     starlette.status
import time:       382 |        382 |         annotated_doc.main
import time:       527 |        908 |       annotated_doc
import time:       426 |        426 |           email
import time:        72 |         72 |           binascii
import time:       382 |        382 |           quopri
import time:       642 |        642 |             email._parseaddr
import time:       589 |       1230 |           email.utils
import time:       583 |        583 |           email.errors
import time:        38 |         38 |                   _string
import time:       708 |        746 |                 string
import time:       361 |       1107 |               email.quoprimime
import time:       259 |        259 |                     _struct
import time:       349 |        607 |                   struct
import time:       469 |       1076 |                 base64
import time:       319 |       1395 |               email.base64mime
import time:       277 |        277 |                 email.encoders
import time:       416 |        692 |               email.charset
import time:       644 |       3838 |             email.header
import time:       454 |       4291 |           email._policybase
import time:       436 |        436 |           email._encoded_words
import time:       305 |        305 |           email.iterators
import time:       775 |       8495 |         email.message
import time:       898 |        898 |             _ast
import time:      1222 |       2120 |           ast
import time:        39 |         39 |               _opcode
import time:       401 |        401 |               _opcode_metadata
import time:       509 |        949 |             opcode
import time:      1107 |       2055 |           dis
import time:       599 |        599 |             importlib
import time:        76 |        675 |           importlib.machinery
import time:       393 |        393 |             token
import time:        38 |         38 |             _tokenize
import time:       964 |       1394 |           tokenize
import time:       436 |        436 |             _weakrefset
import time:       658 |       1093 |           weakref
import time:      2051 |       9386 |         inspect
import time:        52 |         52 |               _json
